year,month,day,actual,predicted
2024,11,8,76509.78,76111.31424927396
2024,11,9,76677.46,75997.54802547957
2024,11,10,80370.01,81051.58230675876
2024,11,11,88647.99,88047.95045520285
2024,11,12,87952.01,88022.22293923234
2024,11,13,90375.2,91438.51238789191
2024,11,14,87325.59,89136.93097824356
2024,11,15,91032.07,91137.46612380535
2024,11,16,90586.92,91021.74929475595
2024,11,17,89855.99,90113.50977202704
2024,11,18,90464.08,91714.0955817512
2024,11,19,92310.79,92986.63164796474
2024,11,20,94286.56,93195.66279370886
2024,11,21,98317.12,97895.93364233729
2024,11,22,98891.99999999999,98019.34806774731
2024,11,23,97672.40000000001,96826.73157272219
2024,11,24,97900.03999999998,96706.52384568402
2024,11,25,93010.01,94354.53164293554
2024,11,26,91965.16,93098.4050723586
2024,11,27,95863.11,95342.56605446494
2024,11,28,95643.98,95399.43882591427
2024,11,29,97460.00000000001,97125.001649503
2024,11,30,96407.99,95977.7759866467
2024,12,1,97185.18,96391.84196742397
2024,12,2,95840.62,95849.80448431331
2024,12,3,95849.69,94286.49563281509
2024,12,4,98587.31999999999,97262.47297864925
2024,12,5,96945.63,99010.70876968
2024,12,6,99740.84000000001,99445.2568142311
2024,12,7,99831.99000000002,98873.88272210717
2024,12,8,101109.59,99862.48359991265
2024,12,9,97276.46999999999,96356.38701095559
2024,12,10,96593.0,95422.17966598566
2024,12,11,101125.0,99973.47195111479
2024,12,12,100004.28999999998,100460.97734227941
2024,12,13,101424.25,100379.94845057993
2024,12,14,101420.0,101230.15156401035
2024,12,15,104463.99,104762.95788298507
2024,12,16,106058.65999999999,105787.67731008296
2024,12,17,106133.74,106728.58168610705
2024,12,18,100204.01,101708.8042673822
2024,12,19,97461.86000000002,99211.11618079215
2024,12,20,97805.44,94238.79435525872
2024,12,21,97291.99,98049.12973314668
2024,12,22,95186.27,95251.24083651719
2024,12,23,94881.47,94511.90966610509
2024,12,24,98663.58,97513.43788856347
2024,12,25,99429.60000000002,98263.9051230816
2024,12,26,95791.6,96894.64087761428
2024,12,27,94299.03,95452.09841153199
2024,12,28,95300.0,95078.32758398472
2024,12,29,93738.2,93249.77096898424
2024,12,30,92792.05,92892.02230371439
2024,12,31,93576.0,94592.81136524945
2025,1,1,94591.79,94129.23605554824
2025,1,2,96984.78999999998,96528.63919880132
2025,1,3,98174.18,97522.43104421312
2025,1,4,98220.5,97776.39787623525
2025,1,5,98363.61000000002,97742.34986031144
2025,1,6,102235.6,100988.3445957427
2025,1,7,96954.60999999999,98372.29709236311
2025,1,8,95060.61,94130.4949976063
2025,1,9,92552.49,92081.84564897775
2025,1,10,94726.11,94648.03407709443
2025,1,11,94599.99,94097.40455774963
2025,1,12,94545.06,94247.1281184981
2025,1,13,94536.1,91698.59581318242
2025,1,14,96560.85999999999,96458.1484771019
2025,1,15,100497.35,99501.54694100955
2025,1,16,99987.29999999999,98567.01304340115
2025,1,17,104077.48,104771.48742198067
2025,1,18,104556.23,103203.45230710035
2025,1,19,101331.57,102780.88657651535
2025,1,20,102260.00999999998,106493.3752466767
2025,1,21,106143.82000000002,105020.1374070364
2025,1,22,103706.66000000003,104153.79658719474
2025,1,23,103910.34,104626.54927741842
2025,1,24,104870.50000000003,105499.32438056786
2025,1,25,104746.85000000003,104406.45544267847
2025,1,26,102620.00000000001,103573.49580414749
2025,1,27,102082.83,99315.43025829554
2025,1,28,101335.51999999999,101883.22353653985
2025,1,29,103733.24000000003,103598.70562457196
2025,1,30,104722.94,105305.72406896269
2025,1,31,102429.56,103329.27431056395
2025,2,1,100635.65,100815.49941767025
2025,2,2,97700.59,97628.03760226844
2025,2,3,101328.52,97577.25222863544
2025,2,4,97763.13,97957.3903728346
2025,2,5,96612.43,96420.52072618241
2025,2,6,96554.34999999999,97369.14083130367
2025,2,7,96506.8,98045.32339528977
2025,2,8,96444.74000000002,95626.67992780081
2025,2,9,96462.74999999999,95636.2518526462
2025,2,10,97430.82,96555.85511141027
