year,month,day,actual,predicted
2024,11,7,76509.78,75850.68805364735
2024,11,8,76677.46,76555.29191988189
2024,11,9,80370.01,76875.83242596706
2024,11,10,88647.99,80290.28342989308
2024,11,11,87952.01,88320.50238520125
2024,11,12,90375.2,88209.86555177708
2024,11,13,87325.59,90561.1943186002
2024,11,14,91032.07,87906.20263675596
2024,11,15,90586.92,91026.91867653964
2024,11,16,89855.99,90807.8885915142
2024,11,17,90464.08,89990.73105814328
2024,11,18,92310.79,90670.12917198654
2024,11,19,94286.56,92435.88435826232
2024,11,20,98317.12,94427.98222111535
2024,11,21,98892.0,98369.07931116756
2024,11,22,97672.4,99179.84616190623
2024,11,23,97900.04,97960.17217112728
2024,11,24,93010.01,97978.01547862036
2024,11,25,91965.16,93198.74609034386
2024,11,26,95863.11,91822.84028469288
2024,11,27,95643.98,95402.21839750992
2024,11,28,97460.0,95320.81976853023
2024,11,29,96407.99,97005.15191419577
2024,11,30,97185.18,96219.31284709889
2024,12,1,95840.62,96927.88307329673
2024,12,2,95849.69,95748.00508235328
2024,12,3,98587.32,95663.461119907
2024,12,4,96945.63,98241.83850522328
2024,12,5,99740.84,96892.84169904428
2024,12,6,99831.99,99456.08426200938
2024,12,7,101109.59,99787.39406768714
2024,12,8,97276.47,100937.64500729438
2024,12,9,96593.0,97412.78545048827
2024,12,10,101125.0,96465.82016662453
2024,12,11,100004.29,100733.88144922172
2024,12,12,101424.25,99942.0020803527
2024,12,13,101420.0,101303.0629153146
2024,12,14,104463.99,101563.56131815394
2024,12,15,106058.66,104346.2103997227
2024,12,16,106133.74,106005.90244231113
2024,12,17,100204.01,106152.29983435114
2024,12,18,97461.86,100579.5070413764
2024,12,19,97805.44,97604.88578955168
2024,12,20,97291.99,97716.32011992476
2024,12,21,95186.27,97160.3679628614
2024,12,22,94881.47,95232.06737659386
2024,12,23,98663.58,94930.71065190848
2024,12,24,99429.6,98503.12790795288
2024,12,25,95791.6,99450.36430993656
2024,12,26,94299.03,96125.66269082186
2024,12,27,95300.0,94590.30403947001
2024,12,28,93738.2,95405.95376630375
2024,12,29,92792.05,93855.62892127465
2024,12,30,93576.0,92816.08267554254
2024,12,31,94591.79,93553.01815763974
2025,1,1,96984.79,94468.29728652776
2025,1,2,98174.18,96767.4275611832
2025,1,3,98220.5,98053.6338653357
2025,1,4,98363.61,98186.62472945557
2025,1,5,102235.6,98339.475459143
2025,1,6,96954.61,101969.85233732883
2025,1,7,95060.61,97151.55260227498
2025,1,8,92552.49,94975.69382665632
2025,1,9,94726.11,92552.94454349086
2025,1,10,94599.99,94269.32195772332
2025,1,11,94545.06,94281.00712129963
2025,1,12,94536.1,94218.4195522379
2025,1,13,96560.86,94343.55955457472
2025,1,14,100497.35,96284.06830162636
2025,1,15,99987.3,100106.99392677344
2025,1,16,104077.48,99861.99432974268
2025,1,17,104556.23,103704.98294562318
2025,1,18,101331.57,104429.21946867564
2025,1,19,102260.01,101255.94655718714
2025,1,20,106143.82,101920.60357835138
2025,1,21,103706.66,105555.44204613737
2025,1,22,103910.34,103417.58746852777
2025,1,23,104870.5,103504.57265692521
2025,1,24,104746.85,104549.16004400804
2025,1,25,102620.0,104433.55805718403
2025,1,26,102082.83,102493.21228192818
2025,1,27,101335.52,101854.01362566609
2025,1,28,103733.24,101084.13728388096
2025,1,29,104722.94,103197.19883271142
2025,1,30,102429.56,104268.69179517445
2025,1,31,100635.65,102162.42543803816
2025,2,1,97700.59,100361.69448456765
2025,2,2,101328.52,97436.04957475775
2025,2,3,97763.13,100528.41560523782
2025,2,4,96612.43,97454.32625887785
2025,2,5,96554.35,96190.9681239982
2025,2,6,96506.8,96276.03774633032
2025,2,7,96444.74,96223.72876280764
2025,2,8,96462.75,96190.21443086071
2025,2,9,97430.82,96250.06505427352
2025,2,10,95778.2,97222.30657226153
2025,2,11,97869.99,95744.11407715364
2025,2,12,96608.14,97592.30783032329
2025,2,13,97500.48,96532.24923234509
2025,2,14,97569.66,97218.81126633506
2025,2,15,96118.12,97349.19286804594
2025,2,16,95780.0,95904.73498308126
2025,2,17,95671.74,95474.01371949169
2025,2,18,96644.37,95336.76496252851
2025,2,19,98305.0,96217.16459148977
2025,2,20,96181.98,97853.40709631809
2025,2,21,96551.01,95948.17254705806
2025,2,22,96258.0,96152.63374221267
2025,2,23,91552.88,95906.30666912918
2025,2,24,88680.4,91430.0339549715
2025,2,25,84250.09,88511.3787699345
2025,2,26,84708.58,84307.04099044108
2025,2,27,84349.94,84463.94955816239
2025,2,28,86064.53,84246.49071419958
2025,3,1,94270.0,85897.34004430712
2025,3,2,86220.61,93820.06701081853
2025,3,3,87281.98,86819.86422243292
2025,3,4,90606.01,87311.79737568216
2025,3,5,89931.89,90559.92360203635
2025,3,6,86801.75,89808.48019894198
2025,3,7,86222.45,86823.43863484886
2025,3,8,80734.37,86117.39734575452
2025,3,9,78595.86,80944.66960303404
2025,3,10,82932.99,78582.76678239254
2025,3,11,83680.12,82552.41039122338
2025,3,12,81115.78,83496.47967358859
2025,3,13,83983.2,81213.84909088751
2025,3,14,84338.44,83890.44782368423
2025,3,15,82574.53,84395.66934225705
2025,3,16,84010.03,82662.38758254473
2025,3,17,82715.03,83888.30274957765
2025,3,18,86845.94,82656.52246114524
2025,3,19,84223.39,86299.64005294649
2025,3,20,84088.79,84056.70755652408
2025,3,21,83840.59,83693.26747801615
2025,3,22,86082.5,83567.3733713307
2025,3,23,87234.15,85531.42064103432
