year,month,day,actual,predicted
2025,1,24,104746.85000000003,100191.766
2025,1,25,102620.00000000001,100656.88
2025,1,26,102082.83,101046.91
2025,1,27,101335.51999999999,101161.16
2025,1,28,103733.24000000003,101063.914
2025,1,29,104722.94,100725.87
2025,1,30,102429.56,100495.695
2025,1,31,100635.65,100425.945
2025,2,1,97700.59,100285.25
2025,2,2,101328.52,99954.56
2025,2,3,97763.13,99529.984
2025,2,4,96612.43,99236.69
2025,2,5,96554.34999999999,98811.92
2025,2,6,96506.8,98248.94
2025,2,7,96444.74000000002,97685.31
2025,2,8,96462.74999999999,97177.0
2025,2,9,97430.82,96659.0
2025,2,10,95778.2,96212.586
2025,2,11,97869.99,95979.81
2025,2,12,96608.14000000001,95723.81
2025,2,13,97500.48,95624.17
2025,2,14,97569.66,95486.516
2025,2,15,96118.12,95298.85
2025,2,16,95780.0,95087.39
2025,2,17,95671.74,94672.88
2025,2,18,96644.37000000001,94147.664
2025,2,19,98305.0,93543.445
2025,2,20,96181.98,93017.94
2025,2,21,96551.01000000001,92841.57
2025,2,22,96258.0,92648.3
2025,2,23,91552.88,92425.734
2025,2,24,88680.4,92246.77
2025,2,25,84250.09,91863.68
2025,2,26,84708.58,91223.53
2025,2,27,84349.94,90244.69
2025,2,28,86064.53,89120.73
2025,3,1,94270.0,87707.52
2025,3,2,86220.61,86500.33
2025,3,3,87281.98,86561.39
2025,3,4,90606.01,86528.43
2025,3,5,89931.89,86491.445
2025,3,6,86801.75,86559.68
2025,3,7,86222.45,86793.52
2025,3,8,80734.37,86710.83
2025,3,9,78595.86,86490.125
2025,3,10,82932.99,85989.28
2025,3,11,83680.12,85061.04
2025,3,12,81115.78,84213.33
2025,3,13,83983.2,83491.56
2025,3,14,84338.44,82742.34
2025,3,15,82574.53,82234.95
2025,3,16,84010.03,81916.53
2025,3,17,82715.03,81699.88
2025,3,18,86845.94,81613.766
2025,3,19,84223.39,81542.57
2025,3,20,84088.79,81867.21
2025,3,21,83840.59,82182.414
2025,3,22,86082.5,82350.9
2025,3,23,87498.16,82391.45
2025,3,24,87392.87,82576.6
2025,3,25,86909.17,82958.57
2025,3,26,87395.65,83339.42
